item_id,local_language_id,short_effect,effect
441,9,,Required to cure the Psyducks blocking Route 210 of their chronic headaches.
442,9,,"Held by :pokemon:`Giratina`
    Holder's :type:`dragon` and :type:`ghost` moves have 1.2× their base power.

    Holder is in Origin Forme.

This item cannot be held by any Pokémon but Giratina.  When you enter the Union Room or connect to Wi-Fi, this item returns to your bag."
443,9,,"Optionally records wireless, Wi-Fi, and Battle Frontier battles.

Tracks Battle Points earned in the Battle Frontier, and stores commemorative prints."
444,9,,"Used by trainer on a :pokemon:`Shaymin`
    Changes the target Shaymin from Land Forme to Sky Forme.

    This item cannot be used on a :mechanic:`frozen` Shaymin or at night.  Sky Forme Shaymin will revert to Land Forme overnight, when frozen, and upon entering a link battle.  This item must be used again to change it back."
445,9,,"Used by trainer in the Galactic Eterna Building, on the ground floor, to the left of the TV
    Unlocks the secret :pokemon:`Rotom` room, in which there are five appliances which can change Rotom's form."
446,9,,Stores Apricorns.
447,9,,Contains four portable pots of soil suitable for growing berries.
448,9,,"Required to water berries within the :item:`Berry Pots`.

Required to battle the :pokemon:`Sudowoodo` on :location:`Route 36`.

This item cannot be directly used from the bag."
449,9,,"Used by trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon was encountered by fishing, the wild Pokémon's catch rate is 3× normal."
450,9,,"Used by trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the trainer's Pokémon's level is higher than:
    * four times the wild Pokémon's, the wild Pokémon's catch rate is 8× normal.
    * than twice the wild Pokémon's, the wild Pokémon's catch rate is 4× normal.
    * the wild Pokémon's, the wild Pokémon's catch rate is 2× normal."
451,9,,"Used by trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon is a :pokemon:`Clefairy`, :pokemon:`Nidoran♂`, :pokemon:`Nidoran♀`, :pokemon:`Jigglypuff`, :pokemon:`Skitty`, or any evolution thereof, the wild Pokémon has 4× its catch rate."
452,9,,"Used by a trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon weighs:
    * 409.6 kg (903.0 lb) or more, its catch rate is 40 more than normal.
    * 307.2 kg (677.3 lb) or more, its catch rate is 30 more than normal.
    * 204.8 kg (451.5 lb) or more, its catch rate is 20 more than normal.
    * less than 204.8 kg (451.5 lb), its catch rate is 20 less than normal."
453,9,,"Used by a trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the wild Pokémon's base :mechanic:`Speed` is 100 or more, its catch rate is 4× normal."
454,9,,"Used by a trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If caught, the wild Pokémon's :mechanic:`happiness` starts at 200."
455,9,,"Used by a trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.

    If the trainer's Pokémon and wild Pokémon are of the same species but opposite genders, the wild Pokémon's catch rate is 8× normal."
456,9,,"Used by a trainer in battle
    :mechanic:`Catch`\ es a wild Pokémon.

This item can only be used in :location:`Pal Park`."
457,9,,"Used by a trainer in battle
    Attempts to :mechanic:`catch` a wild Pokémon.

    The wild Pokémon's catch rate is 1.5× normal."
458,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Level Ball`.
459,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Lure Ball`.
460,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Moon Ball`.
461,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Friend Ball`.
462,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Love Ball`.
463,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Fast Ball`.
464,9,,May be given to Kurt in :location:`Azalea Town` to produce a :item:`Heavy Ball`.
465,9,,"Used by trainer outside of battle
    Searches for hidden items."
466,9,,May be traded for a :item:`TM64` in the vertical Underground Path.
467,9,,Causes :pokemon:`Groudon` to appear in the :location:`Embedded Tower`.
468,9,,Causes :pokemon:`Kyogre` to appear in the :location:`Embedded Tower`.
469,9,,Causes :pokemon:`Rayquaza` to appear in the :location:`Embedded Tower`.
470,9,,"When taken to the :location:`Pewter City` museum, causes :pokemon:`Latias` or :pokemon:`Latios` to attack the trainer.

The Pokémon to appear will be whicher can't be encountered roaming in the wild."
471,9,,Lists which :pokemon:`Unown` forms the trainer has caught.
472,9,,Allows the trainer to answer the daily question on Buena's radio show.  Records the points earned for correct answers.
473,9,,Does nothing.
474,9,,May be given to the Kimono Girls to summon :pokemon:`Ho-Oh` to the top of the :location:`Bell Tower`.
475,9,,"Used by trainer outside of battle
    Opens doors in the :location:`Goldenrod City` Radio Tower."
476,9,,"Used by trainer outside of battle
    Opens the door to the basement tunnel under :location:`Goldenrod City`."
477,9,,May be traded to Mr. Pokémon for an :item:`Exp. Share`.
478,9,,May be traded to the Copycat for a :item:`Pass`.
479,9,,Allows the trainer to ride the Magnet Train between :location:`Goldenrod City` and :location:`Saffron City`.
480,9,,Must be replaced in the :location:`Power Plant` to power the Magnet Train.
481,9,,Causes :pokemon:`Lugia` to appear in the :location:`Whirl Islands`.
482,9,,Causes :pokemon:`Ho-Oh` to appear at the top of :location:`Bell Tower`.
483,9,,"Must be obtained to trigger the break-in at Professor Elm's lab, the first rival battle, and access to :location:`Route 31`."
484,9,,"Used by trainer outside of battle
    Changes the background music to the equivalent 8-bit music."
485,9,,May be given to the Kimono Girls to summon :pokemon:`Lugia` to the top of the :location:`Bell Tower`.
486,9,,Records the number of times the trainer has come in first place overall in the Pokéathlon.
487,9,,Records the number of times the trainer has come in last place overall in the Pokéathlon.
488,9,,Records the number of times the trainer's Pokémon have dashed in the Pokéathlon.
489,9,,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.
490,9,,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.
491,9,,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.
492,9,,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.
493,9,,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.
494,9,,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.
495,9,,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.
496,9,,Records the number of points the trainer has earned in the Pokéathlon.
497,9,,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.
498,9,,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.
499,9,,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.
500,9,,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.
501,9,,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.
502,9,,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.
503,9,,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.
504,9,,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.
505,9,,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.
506,9,,Records the number of times the trainer has come in first across all Pokéathlon events.
507,9,,Records the number of times the trainer has come in last across all Pokéathlon events.
508,9,,Records the number of times the trainer has switched Pokémon in the Pokéathlon.
509,9,,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.
510,9,,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.
511,9,,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.
512,9,,Records the total time spent in the Pokéathlon.
513,9,,Does nothing.
514,9,,Does nothing.
515,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
516,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
517,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
518,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
519,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
520,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
521,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
522,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
523,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
524,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
525,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
526,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
527,9,,Increases movement speed outside or in caves.  Faster than the :item:`Acro Bike`.  Allows the trainer to ascend muddy slopes.
528,9,,"Increases movement speed outside or in caves.  Slower than the :item:`Mach Bike`.  Can perform various tricks, allowing the trainer to reach certain special areas."
529,9,,Waters Berry plants.
530,9,,Contains a machine part to be delivered to Captain Stern.
531,9,,Collects soot when walking through tall grass on :location:`Route 113`.
532,9,,Stores Pokéblocks.
533,9,,Contains a letter to be delivered to Steven.
534,9,,"Provides access to :location:`Southern Island` and either :pokemon:`Latias` or :pokemon:`Latios`, whichever is not available roaming around Hoenn."
535,9,,May be traded to Captain Stern for a :item:`DeepSeaTooth` or a :item:`DeepSeaScale`.
536,9,,Allows the trainer to enter the desert on :location:`Route 111`.
537,9,,"RSE: May be traded to Professor Cozmo for :item:`TM27`.

FRLG: A meteorite to be delivered to Lostelle's father."
538,9,,Unlocks room 1 on the :location:`Abandoned Ship`.
539,9,,Unlocks room 2 on the :location:`Abandoned Ship`.
540,9,,Unlocks room 4 on the :location:`Abandoned Ship`.
541,9,,Unlocks room 6 on the :location:`Abandoned Ship`.
542,9,,Reveals invisble :pokemon:`Kecleon` on the overworld.
543,9,,A parcel to be delivered to Professor Oak for a Pokédex.
544,9,,Wakes up :mechanic:`sleeping` Pokémon.  Required to wake up sleeping :pokemon:`Snorlax` on the overworld.
545,9,,May be traded for a :item:`Bicycle`.
546,9,,"The Safari Zone warden's teeth, to be returned to him for :item:`HM04`."
547,9,,Operates the elevator in the Celadon Rocket Hideout.
548,9,,Identifies ghosts in :location:`Pokémon Tower`.
549,9,,Records information on various famous people.
550,9,,Stores TMs and HMs.
551,9,,Stores Berries.
552,9,,Teaches beginning trainers basic information.
553,9,,Provides access to the first three Sevii Islands.
554,9,,Provides access to the Sevii Islands.
555,9,,Used to bribe the :location:`Saffron City` guards for entry to the city.
556,9,,"Provides access to :location:`Navel Rock`, :pokemon:`Ho-Oh`, and :pokemon:`Lugia`."
557,9,,Provides access to :location:`Birth Island` and :pokemon:`Deoxys`.
558,9,,Holds Berry Powder from Berry Crushing.
559,9,,Deliver to Celio for use in the Network Machine.
560,9,,Deliver to Celio for use in the Network Machine.
561,9,,Provides access to the :location:`Team Magma Hideout` in the :location:`Jagged Pass`.
562,9,,Provides access to :location:`Faraway Island` and :pokemon:`Mew`.
563,9,"Grants Genesect a blue, Water-type Techno Blast.","Held by [Genesect]{pokemon:genesect}
:   Holder's buster is blue, and its [Techno Blast]{move:techno-blast} is [Water]{type:water}-type."
564,9,"Grants Genesect a yellow, Electric-type Techno Blast.","Held by [Genesect]{pokemon:genesect}
:   Holder's buster is yellow, and its [Techno Blast]{move:techno-blast} is [Electric]{type:electric}-type."
565,9,"Grants Genesect a red, Fire-type Techno Blast.","Held by [Genesect]{pokemon:genesect}
:   Holder's buster is red, and its [Techno Blast]{move:techno-blast} is [Fire]{type:fire}-type."
566,9,"Grants Genesect a white, Ice-type Techno Blast.","Held by [Genesect]{pokemon:genesect}
:   Holder's buster is white, and its [Techno Blast]{move:techno-blast} becomes [Ice]{type:ice}-type."
567,9,Restores 20 HP.,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
568,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
569,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
570,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
571,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
572,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
573,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
574,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
575,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
576,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
577,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
578,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
579,9,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
580,9,Traded on a Feebas: Holder evolves into Milotic.,"Held by [Feebas]{pokemon:feebas}
:   Holder evolves into [Milotic]{pokemon:milotic} when traded."
581,9,"Held: Holder has 1.5× Defense and Special Defense, as long as it's not fully evolved.","Held by a Pokémon that is not fully evolved
:   Holder has 1.5× [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense}."
582,9,Held: Holder has 0.5× weight.,"Held
:   Holder has 0.5× weight."
583,9,"Held: When the holder is hit by a [contact]{mechanic:contact} move, the attacking Pokémon takes 1/6 its max [HP]{mechanic:hp} in damage.","Held
:   When the holder is hit by a [contact]{mechanic:contact} move, the attacking Pokémon takes 1/6 its max [HP]{mechanic:hp} in damage."
584,9,Holder is immune to [Ground]{type:ground}-type moves.  Consumed when the holder takes damage from a move.,"Held
:   Holder is immune to [Ground]{type:ground}-type moves, [Spikes]{move:spikes}, [Toxic Spikes]{move:toxic-spikes}, and [Arena Trap]{ability:arena-trap}.

    This effect does not apply during [Gravity]{move:gravity} or [Ingrain]{move:ingrain}.

    When the holder takes damage from a move, this item is consumed."
585,9,"Held: When the holder takes damage from a move, it switches out for another random party Pokémon.","Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching out} for another random, non-fainted Pokémon in its party.
This effect does not activate if another effect prevents the holder from switching out."
586,9,Held: Negates the holder's type immunities.,"Held
:   When one of the user's types would render it immune to damage, that type is ignored for damage calculation."
587,9,Held: Doubles the per-turn damage of multi-turn trapping moves.,"Held
:   Moves used by the holder that trap and damage a target for multiple turns (e.g. [Bind]{move:bind}, [Fire Spin]{move:fire-spin}) inflict twice their usual per-turn damage."
588,9,Held: Raises the holder's [Special Attack]{mechanic:special attack} by one [stage]{mechanic:stage} when it takes [Water]{type:water}-type damage.,"Held
:   When the holder takes [Water]{type:water}-type damage from a move, its [Special Attack]{mechanic:special attack} rises by one [stage]{mechanic:stage} and this item is consumed."
589,9,Held: Raises the holder's [Attack]{mechanic:attack} by one [stage]{mechanic:stage} when it takes [Electric]{type:electric}-type damage.,"Held
:   When the holder takes [Electric]{type:electric}-type damage from a move, its [Attack]{mechanic:attack} rises by one [stage]{mechanic:stage} and this item is consumed."
590,9,"Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer's choice.","Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching out} for another non-fainted Pokémon in its party, as chosen by the Trainer.
This effect does not activate if another effect prevents the holder from switching out."
591,9,"Held: When the holder uses a damaging [Fire]{type:fire}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Fire]{type:fire}-type move, the move has 1.5× power and this item is consumed."
592,9,"Held: When the holder uses a damaging [Water]{type:water}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Water]{type:water}-type move, the move has 1.5× power and this item is consumed."
593,9,"Held: When the holder uses a damaging [Electric]{type:electric}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Electric]{type:electric}-type move, the move has 1.5× power and this item is consumed."
594,9,"Held: When the holder uses a damaging [Grass]{type:grass}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Grass]{type:grass}-type move, the move has 1.5× power and this item is consumed."
595,9,"Held: When the holder uses a damaging [Ice]{type:ice}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Ice]{type:ice}-type move, the move has 1.5× power and this item is consumed."
596,9,"Held: When the holder uses a damaging [Fighting]{type:fighting}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Fighting]{type:fighting}-type move, the move has 1.5× power and this item is consumed."
597,9,"Held: When the holder uses a damaging [Poison]{type:poison}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Poison]{type:poison}-type move, the move has 1.5× power and this item is consumed."
598,9,"Held: When the holder uses a damaging [Ground]{type:ground}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Ground]{type:ground}-type move, the move has 1.5× power and this item is consumed."
599,9,"Held: When the holder uses a damaging [Flying]{type:flying}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Flying]{type:flying}-type move, the move has 1.5× power and this item is consumed."
600,9,"Held: When the holder uses a damaging [Psychic]{type:psychic}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Psychic]{type:psychic}-type move, the move has 1.5× power and this item is consumed."
601,9,"Held: When the holder uses a damaging [Bug]{type:bug}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Bug]{type:bug}-type move, the move has 1.5× power and this item is consumed."
602,9,"Held: When the holder uses a damaging [Rock]{type:rock}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Rock]{type:rock}-type move, the move has 1.5× power and this item is consumed."
603,9,"Held: When the holder uses a damaging [Ghost]{type:ghost}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Ghost]{type:ghost}-type move, the move has 1.5× power and this item is consumed."
604,9,"Held: When the holder uses a damaging [Dark]{type:dark}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Dark]{type:dark}-type move, the move has 1.5× power and this item is consumed."
605,9,"Held: When the holder uses a damaging [Steel]{type:steel}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging [Steel]{type:steel}-type move, the move has 1.5× power and this item is consumed."
606,9,Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [HP]{mechanic:hp} [effort]{mechanic:effort} by 1."
607,9,Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1."
608,9,Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1."
609,9,Increases [Special Attack]{mechanic:special attack} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Special Attack]{mechanic:special attack} [effort]{mechanic:effort} by 1."
610,9,Increases [Special Defense]{mechanic:special defense} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Special Defense]{mechanic:special defense} [effort]{mechanic:effort} by 1."
611,9,Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1."
612,9,Vendor trash.,Vendor trash.
613,9,Can be revived into a [Tirtouga]{pokemon:tirtouga}.,Give to a scientist in a museum to receive a [Tirtouga]{pokemon:tirtouga}.
614,9,Can be revived into a [Archen]{pokemon:archen}.,Give to a scientist in a museum to receive a [Archen]{pokemon:archen}.
615,9,Unlocks the [Victini]{pokemon:victini} event.,"Allows passage on the [Castelia City]{location:castelia-city} ship, which leads to [Liberty Garden]{location:liberty-garden} and [Victini]{pokemon:victini}."
616,9,Activates Pass Powers.,Acts as currency to activate Pass Powers in the Entralink.
617,9,Catches Pokémon found in the Dream World.,"Can only be used in Entree Forest, to catch Pokémon encountered in the Dream World.

Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail."
618,9,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
619,9,Stores props for the Pokémon Musical.,Stores props for the Pokémon Musical.
620,9,No effect.,Only used as a plot point; this item is given to the player and taken away in the same cutscene.
621,9,Cult vendor trash.,Cult vendor trash.
622,9,Cult vendor trash.,Cult vendor trash.
623,9,Cult vendor trash.,Cult vendor trash.
624,9,Cult vendor trash.,Cult vendor trash.
625,9,Cult vendor trash.,Cult vendor trash.
626,9,Cult vendor trash.,Cult vendor trash.
627,9,Cult vendor trash.,Cult vendor trash.
628,9,Cult vendor trash.,Cult vendor trash.
629,9,Cult vendor trash.,Cult vendor trash.
630,9,Cult vendor trash.,Cult vendor trash.
631,9,Cult vendor trash.,Cult vendor trash.
632,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status ailment} and [confusion]{mechanic:confusion}."
633,9,Raises [critical hit]{mechanic:critical hit} rate by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [critical hit]{mechanic:critical hit} rate by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
634,9,Raises [Speed]{mechanic:speed} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
635,9,Raises [Special Attack]{mechanic:special attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Attack]{mechanic:special attack} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
636,9,Raises [Special Defense]{mechanic:special defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Special Defense]{mechanic:special defense} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
637,9,Raises [Defense]{mechanic:defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,"Used on a party Pokémon in battle
:   Raises the target's [Defense]{mechanic:defense} by two [stages]{mechanic:stage}.
This item can only be obtained or used via the Wonder Launcher."
