id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id,z_power,z_effect_id,dynamax_power
778,drum-beating,8,12,80,10,100,0,10,2,71,100,,,,,,130
779,snap-trap,8,12,35,15,100,0,10,2,43,100,,,,,,90
780,pyro-ball,8,10,120,5,90,0,10,2,5,10,,,,,,140
781,behemoth-blade,8,9,100,5,100,0,10,2,436,,,,,,,130
782,behemoth-bash,8,9,100,5,100,0,10,2,436,,,,,,,130
783,aura-wheel,8,13,110,10,100,0,10,2,437,100,,,,,,140
784,breaking-swipe,8,16,60,15,100,0,11,2,396,100,,,,,,110
785,branch-poke,8,12,40,40,100,0,10,2,1,,,,,,,90
786,overdrive,8,13,80,10,100,0,11,3,439,,,,,,,130
787,apple-acid,8,12,80,10,100,0,10,3,440,100,,,,,,130
788,grav-apple,8,12,80,10,100,0,10,2,397,100,,,,,,130
789,spirit-break,8,18,75,15,100,0,10,2,72,100,,,,,,130
790,strange-steam,8,18,90,10,95,0,10,3,77,20,,,,,,130
791,life-dew,8,11,,10,,0,13,1,441,,,,,,,
792,obstruct,8,17,,10,100,4,7,1,442,,,,,,,
793,false-surrender,8,17,80,10,,0,10,2,18,,,,,,,130
794,meteor-assault,8,2,150,5,100,0,10,2,81,,,,,,,100
795,eternabeam,8,16,160,5,90,0,10,3,81,,,,,,,150
796,steel-beam,8,9,140,5,95,0,10,3,420,,,,,,,140
797,expanding-force,8,14,80,10,100,0,10,3,1,,,,,,,130
798,steel-roller,8,9,130,5,100,0,10,2,1,,,,,,,140
799,scale-shot,8,16,25,20,90,0,10,2,1,,,,,,,130
800,meteor-beam,8,6,120,10,90,0,10,3,1,100,,,,,,140
801,shell-side-arm,8,4,90,10,100,0,10,3,1,20,,,,,,90
802,misty-explosion,8,18,100,5,100,0,9,3,1,,,,,,,130
803,grassy-glide,8,12,70,20,100,0,10,2,1,,,,,,,120
804,rising-voltage,8,13,70,20,100,0,10,3,1,,,,,,,140
805,terrain-pulse,8,1,50,10,100,0,10,3,1,,,,,,,130
806,skitter-smack,8,7,70,10,90,0,10,2,1,100,,,,,,120
807,burning-jealousy,8,10,70,5,100,0,11,3,1,100,,,,,,120
808,lash-out,8,17,75,5,100,0,10,2,1,,,,,,,130
809,poltergeist,8,8,110,5,90,0,10,2,1,,,,,,,140
810,corrosive-gas,8,4,,40,100,0,9,1,1,,,,,,,
811,coaching,8,2,,10,,0,13,1,1,100,,,,,,
812,flip-turn,8,11,60,20,100,0,10,2,1,,,,,,,110
813,triple-axel,8,15,20,10,90,0,10,2,1,,,,,,,140
814,dual-wingbeat,8,3,40,10,90,0,10,2,1,,,,,,,130
815,scorching-sands,8,5,70,10,100,0,10,3,1,30,,,,,,120
816,jungle-healing,8,12,,10,,0,13,1,1,,,,,,,
817,wicked-blow,8,17,80,5,100,0,10,2,1,,,,,,,130
818,surging-strikes,8,11,25,5,100,0,10,2,1,,,,,,,130
819,thunder-cage,8,13,80,15,90,0,10,3,1,100,,,,,,130
820,dragon-energy,8,16,150,5,100,0,11,3,1,,,,,,,150
821,freezing-glare,8,14,90,10,100,0,10,3,1,10,,,,,,130
822,fiery-wrath,8,17,90,10,100,0,11,3,1,20,,,,,,130
823,thunderous-kick,8,2,90,10,100,0,10,2,1,100,,,,,,90
824,glacial-lance,8,15,130,5,100,0,11,2,1,,,,,,,140
825,astral-barrage,8,8,120,5,100,0,11,3,1,,,,,,,140
826,eerie-spell,8,14,80,5,100,0,10,3,1,,,,,,,130
10001,shadow-rush,3,10002,55,,100,0,10,2,10001,,,,,,,
10002,shadow-blast,3,10002,80,,100,0,10,2,44,,,,,,,
10003,shadow-blitz,3,10002,40,,100,0,10,2,1,,,,,,,
10004,shadow-bolt,3,10002,75,,100,0,10,3,7,10,,,,,,
10005,shadow-break,3,10002,75,,100,0,10,2,1,,,,,,,
10006,shadow-chill,3,10002,75,,100,0,10,3,6,10,,,,,,
10007,shadow-end,3,10002,120,,60,0,10,2,10002,,,,,,,
10008,shadow-fire,3,10002,75,,100,0,10,3,5,10,,,,,,
10009,shadow-rave,3,10002,70,,100,0,6,3,1,,,,,,,
10010,shadow-storm,3,10002,95,,100,0,6,3,1,,,,,,,
10011,shadow-wave,3,10002,50,,100,0,6,3,1,,,,,,,
10012,shadow-down,3,10002,,,100,0,6,1,60,,,,,,,
10013,shadow-half,3,10002,,,100,0,12,3,10003,,,,,,,
10014,shadow-hold,3,10002,,,,0,6,1,107,,,,,,,
10015,shadow-mist,3,10002,,,100,0,6,1,10004,,,,,,,
10016,shadow-panic,3,10002,,,90,0,6,1,50,,,,,,,
10017,shadow-shed,3,10002,,,,0,12,1,10005,,,,,,,
10018,shadow-sky,3,10002,,,,0,12,1,10006,,,,,,,
