move_effect_id,local_language_id,short_effect,effect
178,9,User and target swap items.,"User and target permanently swap [held item]{mechanic:held item}s.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has [Multitype]{ability:multitype} or [Sticky Hold]{ability:sticky-hold}, this move will fail.

If this move results in a Pokémon obtaining [Choice Band]{item:choice-band}, [Choice Scarf]{item:choice-scarf}, or [Choice Specs]{item:choice-specs}, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with [Recycle]{move:recycle}.

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
179,9,Copies the target's ability.,"User's ability is replaced with the target's until the user leaves the [field]{mechanic:field}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

If the target has [Wonder Guard]{ability:wonder-guard}, this move will fail.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
180,9,User will recover half its max HP at the end of the next turn.,"At the end of the next turn, user will be healed for half its max [HP]{mechanic:hp}.  If the user is [switched out]{mechanic:switched out}, its replacement will be healed instead for half of the user's max HP.  If the user [faint]{mechanic:faint}s or is forcefully switched by [Roar]{move:roar} or [Whirlwind]{move:whirlwind}, this effect will not activate."
181,9,Randomly selects and uses one of the trainer's other Pokémon's moves.,"Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select [Assist]{move:assist}, [Chatter]{move:chatter}, [Circle Throw]{move:circle-throw}, [Copycat]{move:copycat}, [Counter]{move:counter}, [Covet]{move:covet}, [Destiny Bond]{move:destiny-bond}, [Detect]{move:detect}, [Dragon Tail]{move:dragon-tail}, [Endure]{move:endure}, [Feint]{move:feint}, [Focus Punch]{move:focus-punch}, [Follow Me]{move:follow-me}, [Helping Hand]{move:helping-hand}, [Me First]{move:me-first}, [Metronome]{move:metronome}, [Mimic]{move:mimic}, [Mirror Coat]{move:mirror-coat}, [Mirror Move]{move:mirror-move}, [Protect]{move:protect}, [Quick Guard]{move:quick-guard}, [Sketch]{move:sketch}, [Sleep Talk]{move:sleep-talk}, [Snatch]{move:snatch}, [Struggle]{move:struggle}, [Switcheroo]{move:switcheroo}, [Thief]{move:thief}, [Trick]{move:trick}, or [Wide Guard]{move:wide-guard}.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Metronome]{move:metronome} or [Sleep Talk]{move:sleep-talk}."
182,9,Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,"Prevents the user from [switching out]{mechanic:switching out}.  User regains 1/16 of its max [HP]{mechanic:hp} at the end of every turn.  If the user was immune to [Ground]{type:ground} attacks, it will now take normal damage from them.

[Roar]{move:roar} and [Whirlwind]{move:whirlwind} will not affect the user.  The user cannot use [Magnet Rise]{move:magnet-rise}.

The user may still use [U-turn]{move:u-turn} to leave the [field]{mechanic:field}.

This effect can be passed with [Baton Pass]{move:baton-pass}."
183,9,Lowers the user's Attack and Defense by one stage after inflicting damage.,"Inflicts [regular damage]{mechanic:regular damage}, then lowers the user's [Attack]{mechanic:attack} and [Defense]{mechanic:defense} by one [stage]{mechanic:stage} each."
184,9,Reflects back the first effect move used on the user this turn.,"The first non-damaging move targeting the user this turn that inflicts [major status effect]{mechanic:major status effect}s, [stat change]{mechanic:stat change}s, or [trap]{mechanic:trap}ping effects will be reflected at its user.

[Defog]{move:defog}, [Memento]{move:memento}, and [Teeter Dance]{move:teeter-dance} are not reflected.

[Attract]{move:attract}, [Flatter]{move:flatter}, [Gastro Acid]{move:gastro-acid}, [Leech Seed]{move:leech-seed}, [Swagger]{move:swagger}, [Worry Seed]{move:worry-seed}, and [Yawn]{move:yawn} are reflected.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
185,9,User recovers the item it last used up.,"User recovers the last item consumed by the user or a Pokémon in its position on the [field]{mechanic:field}.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by [Covet]{move:covet}, [Knock Off]{move:knock-off}, [Switcheroo]{move:switcheroo}, [Thief]{move:thief}, or [Trick]{move:trick} may not be recovered."
186,9,Inflicts double damage if the user takes damage before attacking this turn.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target damaged the user this turn and was the last to do so, this move has double power.

[Pain Split]{move:pain-split} does not count as damaging the user."
187,9,Destroys Reflect and Light Screen.,"Destroys any [Light Screen]{move:light-screen} or [Reflect]{move:reflect} on the target's side of the [field]{mechanic:field}, then inflicts [regular damage]{mechanic:regular damage}.  The barriers are destroyed even if this move has [no effect]{mechanic:no effect}."
188,9,Target sleeps at the end of the next turn.,"Puts the target to [sleep]{mechanic:sleep} at the end of the next turn.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  If the target leaves the [field]{mechanic:field}, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by [Safeguard]{move:safeguard} when this move is used, this move will fail.

[Insomnia]{ability:insomnia} and [Vital Spirit]{ability:vital-spirit} prevent the [sleep]{mechanic:sleep} if the target has either at the end of the next turn, but will not cause this move to fail on use."
189,9,Target drops its held item.,"Inflicts [regular damage]{mechanic:regular damage}.  Target loses its [held item]{mechanic:held item}.

Neither the user nor the target can recover its item with [Recycle]{move:recycle}.

If the target has [Multitype]{ability:multitype} or [Sticky Hold]{ability:sticky-hold}, it will take damage but not lose its item."
190,9,Lowers the target's HP to equal the user's.,"Inflicts exactly enough damage to lower the target's [HP]{mechanic:hp} to equal the user's.  If the target's [HP]{mechanic:hp} is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage."
191,9,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.","Inflicts [regular damage]{mechanic:regular damage}.  Power increases with the user's remaining [HP]{mechanic:hp} and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full [HP]{mechanic:hp}."
192,9,User and target swap abilities.,"User and target switch abilities.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

If either Pokémon has [Multitype]{ability:multitype} or [Wonder Guard]{ability:wonder-guard}, this move will fail."
193,9,Prevents the target from using any moves that the user also knows.,"Prevents any Pokémon on the opposing side of the [field]{mechanic:field} from using any move the user knows until the user leaves the [field]{mechanic:field}.  This effect is live; if the user obtains new moves while on the [field]{mechanic:field}, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail."
194,9,"Cleanses the user of a burn, paralysis, or poison.","Removes a [burn]{mechanic:burn}, [paralysis]{mechanic:paralysis}, or [poison]{mechanic:poison} from the user."
195,9,"If the user faints this turn, the PP of the move that fainted it drops to 0.","If the user [faint]{mechanic:faint}s before it next acts, the move that fainted it will have its [PP]{mechanic:pp} dropped to 0.  End-of-turn damage does not trigger this effect."
196,9,"Steals the target's move, if it's self-targeted.","The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.

If the user steals [Psych Up]{move:psych-up}, it will target the Pokémon that used [Psych Up]{move:psych-up}.  If the user was the original target of [Psych Up]{move:psych-up}, and the Pokémon that originally used it's affected by [Pressure]{ability:pressure}, it will only lose 1 [PP]{mechanic:pp}.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
197,9,"Inflicts more damage to heavier targets, with a maximum of 120 power.","Inflicts [regular damage]{mechanic:regular damage}.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
198,9,Has a $effect_chance% chance to inflict a status effect which depends upon the terrain.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | [Paralyze]{mechanic:paralyze}s target
Cave           | Makes target [flinch]{mechanic:flinch}
Deep water     | Lowers target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}
Desert         | Lowers target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}
Grass          | Puts target to [sleep]{mechanic:sleep}
Mountain       | Makes target [flinch]{mechanic:flinch}
Road           | Lowers target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}
Shallow water  | Lowers target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}
Snow           | [Freezes]{mechanic:freezes} target
Tall grass     | Puts target to [sleep]{mechanic:sleep}

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | [Paralyze]{mechanic:paralyze}s target
Crystal        | Makes target [flinch]{mechanic:flinch}
Gateway        | Lowers target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}
Magma          | Makes target [flinch]{mechanic:flinch}
Main Street    | [Paralyze]{mechanic:paralyze}s target
Neon           | [Paralyze]{mechanic:paralyze}s target
Stargazer      | Makes target [flinch]{mechanic:flinch}
Sunny Park     | Puts target to [sleep]{mechanic:sleep}
Sunset         | Lowers target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}
Waterfall      | Puts target to [sleep]{mechanic:sleep}
"
199,9,User receives 1/3 the damage inflicted in recoil.,Inflicts [regular damage]{mechanic:regular damage}.  User takes 1/3 the damage it inflicts in recoil.
200,9,Confuses the target.,[Confuse]{mechanic:confuse}s all targets.
201,9,Has an increased chance for a critical hit and a $effect_chance% chance to [burn]{mechanic} the target.,Inflicts [regular damage]{mechanic:regular damage}.  User's [critical hit]{mechanic:critical hit} rate is one level higher when using this move. Has a $effect_chance% chance to [burn]{mechanic:burn} the target.
202,9,Halves all Electric-type damage.,"[Electric]{type:electric} moves inflict half damage, regardless of target.  If the user leaves the [field]{mechanic:field}, this effect ends."
203,9,Has a $effect_chance% chance to badly poison the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [badly poison]{mechanic:badly poison} the target.
204,9,"If there be weather, this move has doubled power and the weather's type.","Inflicts [regular damage]{mechanic:regular damage}.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  [Shadow Sky]{move:shadow-sky} is typeless for the purposes of this move."
205,9,Lowers the user's Special Attack by two stages after inflicting damage.,"Inflicts [regular damage]{mechanic:regular damage}, then lowers the user's [Special Attack]{mechanic:special attack} by two [stages]{mechanic:stage}."
206,9,Lowers the target's Attack and Defense by one stage.,Lowers the target's [Attack]{mechanic:attack} and [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
207,9,Raises the user's Defense and Special Defense by one stage.,Raises the user's [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage}.
208,9,Inflicts regular damage and can hit Bounce and Fly users.,"Inflicts [regular damage]{mechanic:regular damage}.

This move can hit Pokémon under the effect of [Bounce]{move:bounce}, [Fly]{move:fly}, or [Sky Drop]{move:sky-drop}."
209,9,Raises the user's Attack and Defense by one stage.,Raises the user's [Attack]{mechanic:attack} and [Defense]{mechanic:defense} by one [stage]{mechanic:stage} each.
210,9,Has an increased chance for a critical hit and a $effect_chance% chance to poison the target.,Inflicts [regular damage]{mechanic:regular damage}.  User's [critical hit]{mechanic:critical hit} rate is one level higher when using this move. Has a $effect_chance% chance to [poison]{mechanic:poison} the target.
211,9,Halves all Fire-type damage.,"[Fire]{type:fire} moves inflict half damage, regardless of target.  If the user leaves the [field]{mechanic:field}, this effect ends."
212,9,Raises the user's Special Attack and Special Defense by one stage.,Raises the user's [Special Attack]{mechanic:special attack} and [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage} each.
213,9,Raises the user's Attack and Speed by one stage.,Raises the user's [Attack]{mechanic:attack} and [Speed]{mechanic:speed} by one [stage]{mechanic:stage} each.
214,9,User's type changes to match the terrain.,"User's type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | [Normal]{type:normal}
Cave           | [Rock]{type:rock}
Desert         | [Ground]{type:ground}
Grass          | [Grass]{type:grass}
Mountain       | [Rock]{type:rock}
Ocean          | [Water]{type:water}
Pond           | [Water]{type:water}
Road           | [Ground]{type:ground}
Snow           | [Ice]{type:ice}
Tall grass     | [Grass]{type:grass}

In Pokémon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | [Normal]{type:normal}
Crystal        | [Rock]{type:rock}
Gateway        | [Water]{type:water}
Magma          | [Rock]{type:rock}
Main Street    | [Normal]{type:normal}
Neon           | [Normal]{type:normal}
Stargazer      | [Rock]{type:rock}
Sunny Park     | [Grass]{type:grass}
Sunset         | [Ground]{type:ground}
Waterfall      | [Grass]{type:grass}
"
215,9,Heals the user by half its max HP.,"Heals the user for half its max [HP]{mechanic:hp}.  If the user is [Flying]{type:flying}, its [Flying]{type:flying} type is ignored until the end of this turn."
216,9,Disables moves and immunities that involve flying or levitating for five turns.,"For five turns (including this one), all immunities to [Ground]{type:ground} moves are disabled.  For the duration of this effect, the [evasion]{mechanic:evasion} of every Pokémon on the field is lowered by two [stages]{mechanic:stage}.  Cancels the effects of [Bounce]{move:bounce}, [Fly]{move:fly}, and [Sky Drop]{move:sky-drop}.

Specifically, [Flying]{type:flying} Pokémon and those with [Levitate]{ability:levitate} or that have used [Magnet Rise]{move:magnet-rise} are no longer immune to [Ground]{type:ground} attacks, [Arena Trap]{ability:arena-trap}, [Spikes]{move:spikes}, or [Toxic Spikes]{move:toxic-spikes}.

[Bounce]{move:bounce}, [Fly]{move:fly}, [Sky Drop]{move:sky-drop}, [Hi Jump Kick]{move:hi-jump-kick}, [Jump Kick]{move:jump-kick}, and [Splash]{move:splash} cannot be used while this move is in effect.

*Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of [Sky Drop]{move:sky-drop}, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
217,9,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it's Dark.",Resets the target's [evasion]{mechanic:evasion} to normal and prevents any further boosting until the target leaves the [field]{mechanic:field}.  A [Dark]{type:dark} Pokémon under this effect takes normal damage from [Psychic]{type:psychic} moves.  This move itself ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
218,9,"If the target is asleep, has double power and wakes it up.","Inflicts [regular damage]{mechanic:regular damage}.  If the target is [sleep]{mechanic:sleep}ing, this move has double power, and the target wakes up."
219,9,Lowers user's Speed by one stage.,"Inflicts [regular damage]{mechanic:regular damage}, then lowers the user's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}."
220,9,"Power raises when the user has lower Speed, up to a maximum of 150.","Inflicts [regular damage]{mechanic:regular damage}.  Power increases with the target's current [Speed]{mechanic:speed} compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150."
221,9,User faints.  Its replacement has its HP fully restored and any major status effect removed.,"User faints.  Its replacement's [HP]{mechanic:hp} is fully restored, and any [major status effect]{mechanic:major status effect} is removed.  If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead."
222,9,Has double power against Pokémon that have less than half their max HP remaining.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target has less than half its max [HP]{mechanic:hp} remaining, this move has double power."
223,9,Power and type depend on the held berry.,"Inflicts [regular damage]{mechanic:regular damage}.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail."
224,9,Hits through Protect and Detect.,"Inflicts [regular damage]{mechanic:regular damage}.  Removes the effects of [Detect]{move:detect} or [Protect]{move:protect} from the target before hitting.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
225,9,"If target has a berry, inflicts double damage and uses the berry.","Inflicts [regular damage]{mechanic:regular damage}.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a [Jaboca Berry]{item:jaboca-berry} or [Rowap Berry]{item:rowap-berry}, the berry is still removed, but has no effect.

If this move is [super effective]{mechanic:super effective} and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
226,9,"For three turns, friendly Pokémon have doubled Speed.","For the next three turns, all Pokémon on the user's side of the [field]{mechanic:field} have their original [Speed]{mechanic:speed} doubled.  This effect remains if the user leaves the [field]{mechanic:field}."
227,9,Raises one of a friendly Pokémon's stats at random by two stages.,"Raises one of the target's stats by two [stages]{mechanic:stage}.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.

If the target has a [Substitute]{move:substitute}, this move will have no effect, even if the user is the target.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
228,9,Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,"Targets the last opposing Pokémon to hit the user with a damaging move this turn.  Inflicts 1.5× the damage that move did to the user.  If there is no eligible target, this move will [fail]{mechanic:fail}.  Type immunity applies, but other type effects are ignored."
229,9,User must switch out after attacking.,"Inflicts [regular damage]{mechanic:regular damage}, then the user immediately [switches out]{mechanic:switches out}, and the trainer selects a replacement Pokémon from the party.  If the target [faint]{mechanic:faint}s from this attack, the user's trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not [switch out]{mechanic:switch out}.

The user may be hit by [Pursuit]{move:pursuit} when it [switches out]{mechanic:switches out}, if it has been targeted and [Pursuit]{move:pursuit} has not yet been used.

This move may be used even if the user is under the effect of [Ingrain]{move:ingrain}.  [Ingrain]{move:ingrain}'s effect will end."
230,9,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,"Inflicts [regular damage]{mechanic:regular damage}, then lowers the user's [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage} each."
231,9,Power is doubled if the target has already moved this turn.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target uses a move or [switches out]{mechanic:switches out} this turn before this move is used, this move has double power."
232,9,Power is doubled if the target has already received damage this turn.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target takes damage this turn for any reason before this move is used, this move has double power."
233,9,Target cannot use held items.,"Target cannot use its held item for five turns.  If the target leaves the [field]{mechanic:field}, this effect ends.

If a Pokémon under this effect uses [Bug Bite]{move:bug-bite} or [Pluck]{move:pluck} on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses [Fling]{move:fling}, it will fail.

This effect is passed by [Baton Pass]{move:baton-pass}."
234,9,Throws held item at the target; power depends on the item.,"Inflicts [regular damage]{mechanic:regular damage}.  Power and type are determined by the user's [held item]{mechanic:held item}.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.

This move ignores [Sticky Hold]{ability:sticky-hold}.

If the user is under the effect of [Embargo]{move:embargo}, this move will fail."
235,9,Transfers the user's major status effect to the target.,"If the user has a [major status effect]{mechanic:major status effect} and the target does not, the user's status is transferred to the target."
236,9,"Power increases when this move has less PP, up to a maximum of 200.","Inflicts [regular damage]{mechanic:regular damage}.  Power is determined by the [PP]{mechanic:pp} remaining for this move, after its [PP]{mechanic:pp} cost is deducted.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

PP remaining | Power
------------ | ----:
4 or more    |    40
3            |    50
2            |    60
1            |    80
0            |   200

If this move is activated by another move, the activating move's [PP]{mechanic:pp} is used to calculate power."
237,9,Prevents target from restoring its HP for five turns.,"For the next five turns, the target may not use any moves that only restore [HP]{mechanic:hp}, and move effects that heal the target are disabled.  Moves that steal [HP]{mechanic:hp} may still be used, but will only inflict damage and not heal the target."
238,9,"Power increases against targets with more HP remaining, up to a maximum of 110 power.","Inflicts [regular damage]{mechanic:regular damage}.  Power directly relates to the target's relative remaining [HP]{mechanic:hp}, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
239,9,User swaps Attack and Defense.,"The user's original [Attack]{mechanic:attack} and [Defense]{mechanic:defense} are swapped.

This effect is passed on by [Baton Pass]{move:baton-pass}."
240,9,Nullifies target's ability until it leaves battle.,"The target's ability is disabled as long as it remains on the [field]{mechanic:field}.

This effect is passed on by [Baton Pass]{move:baton-pass}."
241,9,Prevents the target from scoring critical hits for five turns.,"For five turns, opposing Pokémon cannot score [critical hits]{mechanic:critical hit}."
242,9,"Uses the target's move against it before it attacks, with power increased by half.","If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}."
243,9,Uses the target's last used move.,"Uses the last move that was used successfully by any Pokémon, including the user.

This move cannot copy itself.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}."
244,9,User swaps Attack and Special Attack changes with the target.,User swaps its [Attack]{mechanic:attack} and [Special Attack]{mechanic:special attack} [stat modifiers]{mechanic:stat modifiers} modifiers with the target.
245,9,User swaps Defense and Special Defense changes with the target.,User swaps its [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} modifiers with the target.
246,9,"Power increases against targets with more raised stats, up to a maximum of 200.","Inflicts [regular damage]{mechanic:regular damage}.  Power starts at 60 and is increased by 20 for every [stage]{mechanic:stage} any of the target's stats has been raised, capping at 200.  [Accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers do not increase this move's power."
247,9,Can only be used after all of the user's other moves have been used.,"Inflicts [regular damage]{mechanic:regular damage}.  This move can only be used if each of the user's other moves has been used at least once since the user entered the [field]{mechanic:field}.  If this is the user's only move, this move will fail."
248,9,Changes the target's ability to Insomnia.,"Changes the target's ability to [Insomnia]{ability:insomnia}.

If the target's ability is [Truant]{ability:truant} or [Multitype]{ability:multitype}, this move will fail."
249,9,Only works if the target is about to use a damaging move.,"Inflicts [regular damage]{mechanic:regular damage}.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by [Iron Fist]{ability:iron-fist}."
250,9,"Scatters poisoned spikes, poisoning opposing Pokémon that switch in.","Scatters poisoned spikes around the opposing [field]{mechanic:field}, which [poison]{mechanic:poison} opposing Pokémon that enter the [field]{mechanic:field}.  A second layer of these spikes may be laid down, in which case Pokémon will be [badly poison]{mechanic:badly poison}ed instead.  Pokémon immune to either [Ground]{type:ground} moves or being [poison]{mechanic:poison}ed are immune to this effect.  Pokémon otherwise immune to [Ground]{type:ground} moves are affected during [Gravity]{move:gravity}.

If a [Poison]{type:poison} Pokémon not immune to [Ground]{type:ground} moves enters a [field]{mechanic:field} covered with poisoned spikes, the spikes are removed.

[Rapid Spin]{move:rapid-spin} will remove this effect from its user's side of the [field]{mechanic:field}.  [Defog]{move:defog} will remove this effect from its target's side of the [field]{mechanic:field}.

This move does not trigger [Synchronize]{ability:synchronize}, unless the Pokémon with [Synchronize]{ability:synchronize} was forced to enter the [field]{mechanic:field} by another effect such as [Roar]{move:roar}.

Pokémon entering the [field]{mechanic:field} due to [Baton Pass]{move:baton-pass} are not affected by this effect."
251,9,User and target swap stat changes.,User swaps its [stat modifiers]{mechanic:stat modifiers} with the target.
252,9,Restores 1/16 of the user's max HP each turn.,"Restores 1/16 of the user's max [HP]{mechanic:hp} at the end of each turn.  If the user leaves the [field]{mechanic:field}, this effect ends.

This effect is passed on by [Baton Pass]{move:baton-pass}."
253,9,User is immune to Ground moves and effects for five turns.,"For five turns, the user is immune to [Ground]{type:ground} moves.

If the user is under the effect of [Ingrain]{move:ingrain} or has [Levitate]{ability:levitate}, this move will fail.

This effect is temporarily disabled by and cannot be used during [Gravity]{move:gravity}.

This effect is passed on by [Baton Pass]{move:baton-pass}."
254,9,User takes 1/3 the damage inflicted in recoil.  Has a $effect_chance% chance to [burn]{mechanic} the target.,"Inflicts [regular damage]{mechanic:regular damage}.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  [Frozen]{mechanic:frozen} Pokémon may use this move, in which case they will thaw."
255,9,User takes 1/4 its max HP in recoil.,"Inflicts [typeless]{mechanic:typeless} [regular damage]{mechanic:regular damage}.  User takes 1/4 its max [HP]{mechanic:hp} in recoil.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no [PP]{mechanic:pp} remaining or being under the effect of both [Encore]{move:encore} and [Torment]{move:torment} at the same time.

This move cannot be copied by [Mimic]{move:mimic}, [Mirror Move]{move:mirror-move}, or [Sketch]{move:sketch}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}, nor forced by [Encore]{move:encore}."
256,9,"User dives underwater, dodging all attacks, and hits next turn.","Inflicts [regular damage]{mechanic:regular damage}.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, [Surf]{move:surf}, and [Whirlpool]{move:whirlpool} still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of [Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, or [No Guard]{ability:no-guard}.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
257,9,"User digs underground, dodging all attacks, and hits next turn.","Inflicts [regular damage]{mechanic:regular damage}.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, [Earthquake]{move:earthquake}, [Fissure]{move:fissure}, and [Magnitude]{move:magnitude} still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of [Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, or [No Guard]{ability:no-guard}.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
258,9,Inflicts regular damage and can hit Dive users.,"Inflicts [regular damage]{mechanic:regular damage}.

If the target is in the first turn of [Dive]{move:dive}, this move will hit with double power."
259,9,Lowers the target's evasion by one stage.  Removes field effects from the enemy field.,"Lowers the target's [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.  Clears away fog.  Removes the effects of [Mist]{move:mist}, [Light Screen]{move:light-screen}, [Reflect]{move:reflect}, [Safeguard]{move:safeguard}, [Spikes]{move:spikes}, [Stealth Rock]{move:stealth-rock}, and [Toxic Spikes]{move:toxic-spikes} from the target's side of the [field]{mechanic:field}.

If the target is protected by [Mist]{move:mist}, it will prevent the [evasion]{mechanic:evasion} change, then be removed by this move."
260,9,"For five turns, slower Pokémon will act before faster Pokémon.","For five turns (including this one), slower Pokémon will act before faster Pokémon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.

Pokémon holding [Full Incense]{item:full-incense}, [Lagging Tail]{item:lagging-tail}, or [Quick Claw]{item:quick-claw} and Pokémon with [Stall]{ability:stall} ignore this effect."
261,9,Has a $effect_chance% chance to freeze the target.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.

During [Hail]{move:hail}, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of [Protect]{move:protect} and [Detect]{move:detect}."
